word		freq		rank		freq*rank 			 -60037.5
toward		380		250		95000 			 34962.5
give		379		251		95129 			 35091.5
days		377		252		95004 			 34966.5
though		375		253		94875 			 34837.5
point		375		254		95250 			 35212.5
program		373		255		95115 			 35077.5
possible		373		256		95488 			 35450.5
given		372		257		95604 			 35566.5
side		370		258		95460 			 35422.5
present		370		259		95830 			 35792.5
per		370		260		96200 			 36162.5
face		370		261		96570 			 36532.5
room		366		262		95892 			 35854.5
looked		366		263		96258 			 36220.5
important		365		264		96360 			 36322.5
look		364		265		96460 			 36422.5
order		363		266		96558 			 36520.5
business		363		267		96921 			 36883.5
next		362		268		97016 			 36978.5
things		361		269		97109 			 37071.5
John		360		270		97200 			 37162.5
young		359		271		97289 			 37251.5
become		359		272		97648 			 37610.5
nothing		358		273		97734 			 37696.5
No		358		274		98092 			 38054.5
That		357		275		98175 			 38137.5
later		357		276		98532 			 38494.5
felt		357		277		98889 			 38851.5
social		356		278		98968 			 38930.5
Then		355		279		99045 			 39007.5
case		355		280		99400 			 39362.5
rather		354		281		99474 			 39436.5
large		354		282		99828 			 39790.5
need		352		283		99616 			 39578.5
form		351		284		99684 			 39646.5
saw		350		285		99750 			 39712.5
often		349		286		99814 			 39776.5
On		346		287		99302 			 39264.5
These		345		288		99360 			 39322.5
least		343		289		99127 			 39089.5
children		342		290		99180 			 39142.5
along		342		291		99522 			 39484.5
second		341		292		99572 			 39534.5
best		341		293		99913 			 39875.5
several		338		294		99372 			 39334.5
seemed		333		295		98235 			 38197.5
ever		333		296		98568 			 38530.5
early		333		297		98901 			 38863.5
Of		332		298		98936 			 38898.5
thing		331		299		98969 			 38931.5
want		326		300		97800 			 37762.5
power		326		301		98126 			 38088.5
four		326		302		98452 			 38414.5
mind		324		303		98172 			 38134.5
interest		323		304		98192 			 38154.5
within		321		305		97905 			 37867.5
turned		320		306		97920 			 37882.5
light		320		307		98240 			 38202.5
area		319		308		98252 			 38214.5
'		317		309		97953 			 37915.5
done		316		310		97960 			 37922.5
big		316		311		98276 			 38238.5
among		314		312		97968 			 37930.5
problem		312		313		97656 			 37618.5
members		312		314		97968 			 37930.5
door		312		315		98280 			 38242.5
country		312		316		98592 			 38554.5
began		312		317		98904 			 38866.5
sense		311		318		98898 			 38860.5
general		311		319		99209 			 39171.5
family		311		320		99520 			 39482.5
kind		310		321		99510 			 39472.5
development		310		322		99820 			 39782.5
whole		306		323		98838 			 38800.5
matter		306		324		99144 			 39106.5
different		306		325		99450 			 39412.5
war		305		326		99430 			 39392.5
open		305		327		99735 			 39697.5
itself		304		328		99712 			 39674.5
help		303		329		99687 			 39649.5
certain		303		330		99990 			 39952.5
York		302		331		99962 			 39924.5
God		299		332		99268 			 39230.5
others		294		333		97902 			 37864.5
human		294		334		98196 			 38158.5
let		293		335		98155 			 38117.5
name		292		336		98112 			 38074.5
means		291		337		98067 			 38029.5
example		287		338		97006 			 36968.5
action		287		339		97293 			 37255.5
3		287		340		97580 			 37542.5
hands		285		341		97185 			 37147.5
gave		285		342		97470 			 37432.5
yet		283		343		97069 			 37031.5
feet		283		344		97352 			 37314.5
line		282		345		97290 			 37252.5
taken		279		346		96534 			 36496.5
With		277		347		96119 			 36081.5
past		277		348		96396 			 36358.5
law		277		349		96673 			 36635.5
seen		276		350		96600 			 36562.5
All		275		351		96525 			 36487.5
above		275		352		96800 			 36762.5
across		274		353		96722 			 36684.5
local		273		354		96642 			 36604.5
either		273		355		96915 			 36877.5
government		272		356		96832 			 36794.5
experience		272		357		97104 			 37066.5
show		271		358		97018 			 36980.5
quite		271		359		97289 			 37251.5
themselves		270		360		97200 			 37162.5
car		270		361		97470 			 37432.5
words		269		362		97378 			 37340.5
Now		269		363		97647 			 37609.5
I'm		269		364		97916 			 37878.5
body		269		365		98185 			 38147.5
history		268		366		98088 			 38050.5
really		267		367		97989 			 37951.5
anything		265		368		97520 			 37482.5
times		264		369		97416 			 37378.5
death		264		370		97680 			 37642.5
State		263		371		97573 			 37535.5
period		263		372		97836 			 37798.5
half		263		373		98099 			 38061.5
word		261		374		97614 			 37576.5
together		260		375		97500 			 37462.5
money		259		376		97384 			 37346.5
held		259		377		97643 			 37605.5
city		259		378		97902 			 37864.5
whether		258		379		97782 			 37744.5
information		258		380		98040 			 38002.5
having		258		381		98298 			 38260.5
cannot		258		382		98556 			 38518.5
week		257		383		98431 			 38393.5
President		257		384		98688 			 38650.5
already		257		385		98945 			 38907.5
white		254		386		98044 			 38006.5
shall		254		387		98298 			 38260.5
political		254		388		98552 			 38514.5
brought		253		389		98417 			 38379.5
seems		252		390		98280 			 38242.5
making		252		391		98532 			 38494.5
real		251		392		98392 			 38354.5
whose		250		393		98250 			 38212.5
question		250		394		98500 			 38462.5
keep		247		395		97565 			 37527.5
today		246		396		97416 			 37378.5
moment		246		397		97662 			 37624.5
ago		246		398		97908 			 37870.5
After		246		399		98154 			 38116.5
tell		245		400		98000 			 37962.5
service		245		401		98245 			 38207.5
known		245		402		98490 			 38452.5
became		245		403		98735 			 38697.5
behind		244		404		98576 			 38538.5
result		243		405		98415 			 38377.5
free		243		406		98658 			 38620.5
field		243		407		98901 			 38863.5
why		242		408		98736 			 38698.5
five		242		409		98978 			 38940.5
problems		240		410		98400 			 38362.5
heard		240		411		98640 			 38602.5
available		240		412		98880 			 38842.5
sure		239		413		98707 			 38669.5
study		239		414		98946 			 38908.5
reason		239		415		99185 			 39147.5
position		238		416		99008 			 38970.5
change		237		417		98829 			 38791.5
probably		236		418		98648 			 38610.5
job		236		419		98884 			 38846.5
boy		235		420		98700 			 38662.5
areas		235		421		98935 			 38897.5
special		233		422		98326 			 38288.5
individual		233		423		98559 			 38521.5
Miss		232		424		98368 			 38330.5
So		230		425		97750 			 37712.5
close		230		426		97980 			 37942.5
seem		229		427		97783 			 37745.5
wife		227		428		97156 			 37118.5
major		227		429		97383 			 37345.5
wanted		226		430		97180 			 37142.5
turn		226		431		97406 			 37368.5
full		225		432		97200 			 37162.5
am		225		433		97425 			 37387.5
cost		223		434		96782 			 36744.5
church		223		435		97005 			 36967.5
policy		221		436		96356 			 36318.5
necessary		221		437		96577 			 36539.5
voice		220		438		96360 			 36322.5
economic		219		439		96141 			 36103.5
clear		219		440		96360 			 36322.5
company		218		441		96138 			 36100.5
air		218		442		96356 			 36318.5
woman		217		443		96131 			 36093.5
true		217		444		96348 			 36310.5
front		217		445		96565 			 36527.5
feel		216		446		96336 			 36298.5
able		216		447		96552 			 36514.5
future		215		448		96320 			 36282.5
age		215		449		96535 			 36497.5
provide		214		450		96300 			 36262.5
perhaps		214		451		96514 			 36476.5
office		214		452		96728 			 36690.5
love		214		453		96942 			 36904.5
community		214		454		97156 			 37118.5
effect		213		455		96915 			 36877.5
stood		212		456		96672 			 36634.5
national		212		457		96884 			 36846.5
level		212		458		97096 			 37058.5
Some		211		459		96849 			 36811.5
How		211		460		97060 			 37022.5
girl		211		461		97271 			 37233.5
child		210		462		97020 			 36982.5
total		209		463		96767 			 36729.5
rate		209		464		96976 			 36938.5
control		209		465		97185 			 37147.5
morning		208		466		96928 			 36890.5
common		208		467		97136 			 37098.5
Washington		206		468		96408 			 36370.5
short		206		469		96614 			 36576.5
run		206		470		96820 			 36782.5
4		206		471		97026 			 36988.5
following		205		472		96760 			 36722.5
students		204		473		96492 			 36454.5
million		204		474		96696 			 36658.5
By		203		475		96425 			 36387.5
town		201		476		95676 			 35638.5
sound		201		477		95877 			 35839.5
evidence		201		478		96078 			 36040.5
value		200		479		95800 			 35762.5
force		200		480		96000 			 35962.5
top		199		481		95719 			 35681.5
mean		199		482		95918 			 35880.5
land		199		483		96117 			 36079.5
hard		199		484		96316 			 36278.5
believe		199		485		96515 			 36477.5
surface		198		486		96228 			 36190.5
leave		198		487		96426 			 36388.5
An		198		488		96624 			 36586.5
although		198		489		96822 			 36784.5
type		197		490		96530 			 36492.5
play		197		491		96727 			 36689.5
six		196		492		96432 			 36394.5
situation		196		493		96628 			 36590.5
plan		196		494		96824 			 36786.5
military		196		495		97020 			 36982.5
various		195		496		96720 			 36682.5
process		195		497		96915 			 36877.5
party		195		498		97110 			 37072.5
English		195		499		97305 			 37267.5
strong		194		500		97000 			 36962.5
started		194		501		97194 			 37156.5
says		194		502		97388 			 37350.5
music		194		503		97582 			 37544.5
lines		194		504		97776 			 37738.5
increase		194		505		97970 			 37932.5
further		194		506		98164 			 38126.5
America		194		507		98358 			 38320.5
minutes		193		508		98044 			 38006.5
longer		193		509		98237 			 38199.5
idea		193		510		98430 			 38392.5
society		192		511		98112 			 38074.5
personal		192		512		98304 			 38266.5
Dr.		192		513		98496 			 38458.5
tax		191		514		98174 			 38136.5
mother		191		515		98365 			 38327.5
House		191		516		98556 			 38518.5
alone		191		517		98747 			 38709.5
schools		190		518		98420 			 38382.5
outside		190		519		98610 			 38572.5
near		190		520		98800 			 38762.5
gone		190		521		98990 			 38952.5
usually		189		522		98658 			 38620.5
months		188		523		98324 			 38286.5
West		187		524		97988 			 37950.5
Not		187		525		98175 			 38137.5
needed		187		526		98362 			 38324.5
General		187		527		98549 			 38511.5
center		187		528		98736 			 38698.5
private		186		529		98394 			 38356.5
nature		186		530		98580 			 38542.5
kept		186		531		98766 			 38728.5
expected		186		532		98952 			 38914.5
values		185		533		98605 			 38567.5
living		185		534		98790 			 38752.5
Even		185		535		98975 			 38937.5
century		185		536		99160 			 39122.5
pressure		184		537		98808 			 38770.5
ground		184		538		98992 			 38954.5
basis		184		539		99176 			 39138.5
view		183		540		98820 			 38782.5
art		183		541		99003 			 38965.5
women		182		542		98644 			 38606.5
wrote		181		543		98283 			 38245.5
South		181		544		98464 			 38426.5
required		181		545		98645 			 38607.5
moved		181		546		98826 			 38788.5
I'll		181		547		99007 			 38969.5
greater		181		548		99188 			 39150.5
call		181		549		99369 			 39331.5
modern		180		550		99000 			 38962.5
cut		180		551		99180 			 39142.5
conditions		179		552		98808 			 38770.5
complete		179		553		98987 			 38949.5
road		178		554		98612 			 38574.5
return		178		555		98790 			 38752.5
particular		178		556		98968 			 38930.5
support		177		557		98589 			 38551.5
attention		177		558		98766 			 38728.5
soon		176		559		98384 			 38346.5
else		176		560		98560 			 38522.5
book		176		561		98736 			 38698.5
live		175		562		98350 			 38312.5
education		175		563		98525 			 38487.5
material		174		564		98136 			 38098.5
late		174		565		98310 			 38272.5
stage		173		566		97918 			 37880.5
Since		173		567		98091 			 38053.5
lost		173		568		98264 			 38226.5
hours		173		569		98437 			 38399.5
couldn't		173		570		98610 			 38572.5
single		172		571		98212 			 38174.5
followed		172		572		98384 			 38346.5
costs		172		573		98556 			 38518.5
amount		172		574		98728 			 38690.5
1960		172		575		98900 			 38862.5
third		171		576		98496 			 38458.5
space		171		577		98667 			 38629.5
hundred		171		578		98838 			 38800.5
except		171		579		99009 			 38971.5
added		171		580		99180 			 39142.5
tried		170		581		98770 			 38732.5
person		170		582		98940 			 38902.5
including		170		583		99110 			 39072.5
However		170		584		99280 			 39242.5
heart		170		585		99450 			 39412.5
fire		170		586		99620 			 39582.5
dark		170		587		99790 			 39752.5
coming		170		588		99960 			 39922.5
board		170		589		100130 			 40092.5
reached		169		590		99710 			 39672.5
pay		169		591		99879 			 39841.5
miles		169		592		100048 			 40010.5
developed		169		593		100217 			 40179.5
move		168		594		99792 			 39754.5
feeling		168		595		99960 			 39922.5
recent		167		596		99532 			 39494.5
read		167		597		99699 			 39661.5
makes		167		598		99866 			 39828.5
act		167		599		100033 			 39995.5
Thus		166		600		99600 			 39562.5
simply		166		601		99766 			 39728.5
shown		166		602		99932 			 39894.5
figure		166		603		100098 			 40060.5
dead		166		604		100264 			 40226.5
St.		164		605		99220 			 39182.5
hope		164		606		99384 			 39346.5
equipment		164		607		99548 			 39510.5
Department		164		608		99712 			 39674.5
class		164		609		99876 			 39838.5
taking		163		610		99430 			 39392.5
received		163		611		99593 			 39555.5
National		163		612		99756 			 39718.5
From		163		613		99919 			 39881.5
doing		163		614		100082 			 40044.5
college		163		615		100245 			 40207.5
basic		163		616		100408 			 40370.5
&		163		617		100571 			 40533.5
Why		162		618		100116 			 40078.5
trying		162		619		100278 			 40240.5
sometimes		162		620		100440 			 40402.5
looking		162		621		100602 			 40564.5
inside		162		622		100764 			 40726.5
hold		162		623		100926 			 40888.5
everything		162		624		101088 			 41050.5
U.S.		161		625		100625 			 40587.5
sort		161		626		100786 			 40748.5
picture		161		627		100947 			 40909.5
industry		161		628		101108 			 41070.5
data		161		629		101269 			 41231.5
cold		161		630		101430 			 41392.5
terms		160		631		100960 			 40922.5
spirit		160		632		101120 			 41082.5
rest		160		633		101280 			 41242.5
low		160		634		101440 			 41402.5
It's		160		635		101600 			 41562.5
father		160		636		101760 			 41722.5
difficult		160		637		101920 			 41882.5
care		160		638		102080 			 42042.5
War		159		639		101601 			 41563.5
walked		159		640		101760 			 41722.5
nor		159		641		101919 			 41881.5
beginning		159		642		102078 			 42040.5
subject		158		643		101594 			 41556.5
states		158		644		101752 			 41714.5
religious		158		645		101910 			 41872.5
getting		158		646		102068 			 42030.5
passed		157		647		101579 			 41541.5
My		157		648		101736 			 41698.5
floor		157		649		101893 			 41855.5
beyond		157		650		102050 			 42012.5
therefore		156		651		101556 			 41518.5
especially		156		652		101712 			 41674.5
bring		156		653		101868 			 41830.5
black		156		654		102024 			 41986.5
simple		155		655		101525 			 41487.5
cent		155		656		101680 			 41642.5
range		154		657		101178 			 41140.5
England		154		658		101332 			 41294.5
written		153		659		100827 			 40789.5
report		153		660		100980 			 40942.5
property		153		661		101133 			 41095.5
paper		153		662		101286 			 41248.5
Secretary		152		663		100776 			 40738.5
needs		152		664		100928 			 40890.5
natural		152		665		101080 			 41042.5
10		152		666		101232 			 41194.5
talk		151		667		100717 			 40679.5
meeting		151		668		100868 			 40830.5
likely		151		669		101019 			 40981.5
higher		151		670		101170 			 41132.5
Her		151		671		101321 			 41283.5
hear		151		672		101472 			 41434.5
growth		151		673		101623 			 41585.5
final		151		674		101774 			 41736.5
can't		151		675		101925 			 41887.5
friends		150		676		101400 			 41362.5
considered		150		677		101550 			 41512.5
Congress		150		678		101700 			 41662.5
ten		149		679		101171 			 41133.5
sat		149		680		101320 			 41282.5
fine		149		681		101469 			 41431.5
entire		149		682		101618 			 41580.5
answer		149		683		101767 			 41729.5
working		148		684		101232 			 41194.5
story		148		685		101380 			 41342.5
forces		148		686		101528 			 41490.5
difference		148		687		101676 			 41638.5
countries		148		688		101824 			 41786.5
William		147		689		101283 			 41245.5
wasn't		147		690		101430 			 41392.5
table		147		691		101577 			 41539.5
meet		147		692		101724 			 41686.5
involved		147		693		101871 			 41833.5
hair		147		694		102018 			 41980.5
cases		147		695		102165 			 42127.5
building		147		696		102312 			 42274.5
training		146		697		101762 			 41724.5
thus		146		698		101908 			 41870.5
street		146		699		102054 			 42016.5
similar		146		700		102200 			 42162.5
happened		146		701		102346 			 42308.5
Government		146		702		102492 			 42454.5
stand		145		703		101935 			 41897.5
purpose		145		704		102080 			 42042.5
hour		145		705		102225 			 42187.5
effort		145		706		102370 			 42332.5
paid		144		707		101808 			 41770.5
North		144		708		101952 			 41914.5
issue		144		709		102096 			 42058.5
Christian		144		710		102240 			 42202.5
whom		143		711		101673 			 41635.5
sent		143		712		101816 			 41778.5
points		143		713		101959 			 41921.5
market		143		714		102102 			 42064.5
knowledge		143		715		102245 			 42207.5
Here		143		716		102388 			 42350.5
earlier		143		717		102531 			 42493.5
ready		142		718		101956 			 41918.5
particularly		142		719		102098 			 42060.5
it's		142		720		102240 			 42202.5
5		142		721		102382 			 42344.5
statement		141		722		101802 			 41764.5
showed		141		723		101943 			 41905.5
results		141		724		102084 			 42046.5
increased		141		725		102225 			 42187.5
East		141		726		102366 			 42328.5
decided		141		727		102507 			 42469.5
addition		141		728		102648 			 42610.5
Well		140		729		102060 			 42022.5
thinking		140		730		102200 			 42162.5
start		140		731		102340 			 42302.5
son		140		732		102480 			 42442.5
production		140		733		102620 			 42582.5
letter		140		734		102760 			 42722.5
Kennedy		140		735		102900 			 42862.5
weeks		139		736		102304 			 42266.5
wall		139		737		102443 			 42405.5
moral		139		738		102582 			 42544.5
girls		139		739		102721 			 42683.5
French		139		740		102860 			 42822.5
due		139		741		102999 			 42961.5
bad		139		742		103138 			 43100.5
size		138		743		102534 			 42496.5
reading		138		744		102672 			 42634.5
programs		138		745		102810 			 42772.5
methods		138		746		102948 			 42910.5
ideas		138		747		103086 			 43048.5
understand		137		748		102476 			 42438.5
stock		137		749		102613 			 42575.5
method		137		750		102750 			 42712.5
directly		137		751		102887 			 42849.5
color		137		752		103024 			 42986.5
Yet		136		753		102408 			 42370.5
population		136		754		102544 			 42506.5
fall		136		755		102680 			 42642.5
strength		135		756		102060 			 42022.5
normal		135		757		102195 			 42157.5
lay		135		758		102330 			 42292.5
Island		135		759		102465 			 42427.5
foreign		135		760		102600 			 42562.5
concerned		135		761		102735 			 42697.5
appeared		135		762		102870 			 42832.5
trade		134		763		102242 			 42204.5
record		134		764		102376 			 42338.5
police		134		765		102510 			 42472.5
nearly		134		766		102644 			 42606.5
food		134		767		102778 			 42740.5
Federal		134		768		102912 			 42874.5
deal		134		769		103046 			 43008.5
City		134		770		103180 			 43142.5
1961		134		771		103314 			 43276.5
research		133		772		102676 			 42638.5
questions		133		773		102809 			 42771.5
peace		133		774		102942 			 42904.5
merely		133		775		103075 			 43037.5
member		133		776		103208 			 43170.5
continued		133		777		103341 			 43303.5
comes		133		778		103474 			 43436.5
using		132		779		102828 			 42790.5
summer		132		780		102960 			 42922.5
section		132		781		103092 			 43054.5
ran		132		782		103224 			 43186.5
influence		132		783		103356 			 43318.5
During		132		784		103488 			 43450.5
direction		132		785		103620 			 43582.5
boys		132		786		103752 			 43714.5
below		132		787		103884 			 43846.5
trouble		131		788		103228 			 43190.5
physical		131		789		103359 			 43321.5
opened		131		790		103490 			 43452.5
literature		131		791		103621 			 43583.5
husband		131		792		103752 			 43714.5
finally		131		793		103883 			 43845.5
temperature		130		794		103220 			 43182.5
suddenly		130		795		103350 			 43312.5
step		130		796		103480 			 43442.5
month		130		797		103610 			 43572.5
list		130		798		103740 			 43702.5
led		130		799		103870 			 43832.5
stopped		129		800		103200 			 43162.5
piece		129		801		103329 			 43291.5
met		129		802		103458 			 43420.5
instead		129		803		103587 			 43549.5
George		129		804		103716 			 43678.5
chance		129		805		103845 			 43807.5
cause		129		806		103974 			 43936.5
wrong		128		807		103296 			 43258.5
worked		128		808		103424 			 43386.5
try		128		809		103552 			 43514.5
theory		128		810		103680 			 43642.5
Soviet		128		811		103808 			 43770.5
services		128		812		103936 			 43898.5
provided		128		813		104064 			 44026.5
myself		128		814		104192 			 44154.5
former		128		815		104320 			 44282.5
evening		128		816		104448 			 44410.5
effective		128		817		104576 			 44538.5
anyone		128		818		104704 			 44666.5
actually		128		819		104832 			 44794.5
forms		127		820		104140 			 44102.5
average		127		821		104267 			 44229.5
ways		126		822		103572 			 43534.5
placed		126		823		103698 			 43660.5
lead		126		824		103824 			 43786.5
defense		126		825		103950 			 43912.5
changes		126		826		104076 			 44038.5
bed		126		827		104202 			 44164.5
wouldn't		125		828		103500 			 43462.5
systems		125		829		103625 			 43587.5
sales		125		830		103750 			 43712.5
president		125		831		103875 			 43837.5
I've		125		832		104000 			 43962.5
herself		125		833		104125 			 44087.5
groups		125		834		104250 			 44212.5
friend		125		835		104375 			 44337.5
efforts		125		836		104500 			 44462.5
degree		125		837		104625 			 44587.5
Church		125		838		104750 			 44712.5
University		124		839		104036 			 43998.5
truth		124		840		104160 			 44122.5
